Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,ADANIPORTS,320,321.65,335.25,318.15,318.55,319.35,328.63,9315409,306128402165000,78663,2643328,0.2838
2017-04-19,ADANIPORTS,319.35,322,327.65,319.25,326.85,325.8,324.32,4403069,142799037310000,59133,1710217,0.3884
2017-04-20,ADANIPORTS,325.8,327.45,333.2,324,332.6,332.4,331.05,4439900,146984281150000,58211,1896546,0.4272
2017-04-21,ADANIPORTS,332.4,335,335,324.15,326,326,329.25,2517582,82892613730000,29665,831100,0.3301
2017-04-24,ADANIPORTS,326,328.15,334.2,327.25,332.15,331,331.79,5048373,167501268295000,40722,2475361,0.4903
2017-04-25,ADANIPORTS,331,332.5,333.1,326.5,330.9,331.35,330.45,4330049,143086225190000,72237,2507484,0.5791
2017-04-26,ADANIPORTS,331.35,332.45,333.9,318,322.65,323.5,325.67,4078479,132823304205000,54353,1565736,0.3839
2017-04-27,ADANIPORTS,323.5,325.15,328.9,321.15,325,322.5,323.82,2983463,96609122470000,38032,1489980,0.4994
2017-04-28,ADANIPORTS,322.5,324.8,328.45,321.6,326.5,327.7,325.82,1808460,58924063645000,20755,802362,0.4437
2017-05-02,ADANIPORTS,327.7,328.75,332.9,326.65,330,330.6,330.11,4233839,139763914215000,53938,2830100,0.6684
2017-05-03,ADANIPORTS,330.6,330.6,332.3,323.9,327.15,327.45,327.24,3271643,107062211260000,20835,1959551,0.599
2017-05-04,ADANIPORTS,327.45,328.8,340.4,328.7,338.65,339.45,336.33,6728527,226301818835000,37900,3960582,0.5886
2017-05-05,ADANIPORTS,339.45,339.4,346.45,336.15,344.2,344.95,342.1,8196507,280401968765000,63604,4635431,0.5655
2017-05-08,ADANIPORTS,344.95,343.5,346.7,338,341.4,340.5,341.05,2462230,83975124430000,25974,1143002,0.4642
2017-05-09,ADANIPORTS,340.5,339.9,349.4,335.8,347.25,347.5,345.33,3459067,119450804434999,41916,1131193,0.327
2017-05-10,ADANIPORTS,347.5,346.1,353,346.1,350.8,351.9,351.17,3207734,112647284675000,36628,1667602,0.5199
2017-05-11,ADANIPORTS,351.9,352,362.55,350.5,358.95,360.05,356.12,4604066,163960659390000,59951,2435517,0.529
2017-05-12,ADANIPORTS,360.05,360.4,360.4,353.4,358.2,357.95,356.57,2958586,105494468755000,51163,1714248,0.5794
2017-05-15,ADANIPORTS,357.95,359,359.75,350.85,356,356.2,354.78,1530781,54309389610000,14738,554124,0.362
2017-05-16,ADANIPORTS,356.2,354.2,358.15,351.15,353.55,354.5,354.64,1321254,46857184160000,24113,465010,0.3519
2017-05-17,ADANIPORTS,354.5,354.5,354.8,347.55,348.95,348.55,349.74,1239867,43363245230000,19750,571621,0.461
2017-05-18,ADANIPORTS,348.55,344.3,359.55,342.2,348.15,347.9,350.16,3618961,126719843950000,76390,963959,0.2664
2017-05-19,ADANIPORTS,347.9,349.05,352.5,345.3,350.45,349.45,348.91,1302961,45461034190000,20989,492222,0.3778
2017-05-22,ADANIPORTS,349.45,352.4,357.4,350.45,354,354.45,354.6,2939697,104241973385000,36043,1207131,0.4106
2017-05-23,ADANIPORTS,354.45,354.8,355.6,328.5,330.65,331.65,340.41,6270500,213454292405000,70709,2738738,0.4368
2017-05-24,ADANIPORTS,331.65,333.4,342.95,328.1,341.8,339.65,337.39,8363216,282165124920000,78246,1533176,0.1833
2017-05-25,ADANIPORTS,339.65,344.9,346.25,331.3,341.55,340.75,339.21,5992900,203286196330000,57622,1993080,0.3326
2017-05-26,ADANIPORTS,340.75,342.4,351,339,348,348,347.55,2754435,95731156685000,28126,1036015,0.3761
2017-05-29,ADANIPORTS,348,347.8,348.35,325.1,327.8,327.8,331.08,3943111,130547951925000,44755,1440160,0.3652
2017-05-30,ADANIPORTS,327.8,328.4,342.9,327.45,341,340.35,337.25,3680879,124138024380000,51558,1506427,0.4093
2017-05-31,ADANIPORTS,340.35,341.5,345.75,336.55,341.75,339,339.69,12190256,414091982035000,94792,9389385,0.7702
2017-06-01,ADANIPORTS,339,337.6,351.95,337.6,350.5,349.2,345.71,3447544,119183564315000,38653,1449223,0.4204
2017-06-02,ADANIPORTS,349.2,352,359.4,350.5,357,357.9,356.79,3297747,117659980084999,39939,809810,0.2456
2017-06-05,ADANIPORTS,357.9,359.95,364.5,355.2,361.5,361.05,361.2,2830068,102222986400000,31813,891587,0.315
2017-06-06,ADANIPORTS,361.05,362.95,368.75,357.05,360.55,361.45,361.51,5229905,189066638565000,39979,2688647,0.5141
2017-06-07,ADANIPORTS,361.45,363.6,363.95,357.3,359.5,359.1,360.29,5435369,195831872855000,39716,2979849,0.5482
2017-06-08,ADANIPORTS,359.1,359.25,361.85,350.5,360.15,359.15,356.46,4568139,162837637565000,37373,2595605,0.5682
2017-06-09,ADANIPORTS,359.15,360,360.6,350.25,359.6,359.85,356.71,7152603,255142607919999,62422,4653276,0.6506
2017-06-12,ADANIPORTS,359.85,359.7,359.7,353.55,358.5,356.85,355.91,4963488,176657010625000,33056,3176070,0.6399
2017-06-13,ADANIPORTS,356.85,359,363.15,355.4,360.05,359.4,358.99,5463098,196119895475000,43624,3250231,0.5949
2017-06-14,ADANIPORTS,359.4,360.5,360.9,356.1,359.95,359.5,358.73,6005138,215424046794999,52462,4303037,0.7166
2017-06-15,ADANIPORTS,359.5,359.45,366.4,357.75,360,360,361.79,3997432,144623431025000,38912,1764531,0.4414
2017-06-16,ADANIPORTS,360,361.5,365.1,356.25,364.9,363.15,360.57,5332597,192274982170000,38347,3577084,0.6708
2017-06-19,ADANIPORTS,363.15,365,375.6,365,373.65,373.8,371.87,7328947,272542174010000,105974,3109194,0.4242
2017-06-20,ADANIPORTS,373.8,375.6,377.7,370.1,374.05,375.65,374.86,4597214,172333109720000,55660,2585956,0.5625
2017-06-21,ADANIPORTS,375.65,374.75,377.2,367.2,369.95,369.95,371.88,2797034,104015083460000,40320,1262268,0.4513
2017-06-22,ADANIPORTS,369.95,370,373.8,367.5,369.3,369.45,370.87,1935079,71765535030000,30166,969841,0.5012
2017-06-23,ADANIPORTS,369.45,369.45,370.5,361.65,368,365.45,364.46,3011500,109757103990000,53047,1628889,0.5409
2017-06-27,ADANIPORTS,365.45,367.9,372.8,365.45,366.8,367.7,368.94,2780694,102591433810000,38952,1032749,0.3714
2017-06-28,ADANIPORTS,367.7,368.4,369.65,363.05,364.35,364.5,365.95,2394375,87621793450000,53764,1316251,0.5497
2017-06-29,ADANIPORTS,364.5,366.95,368.7,362.35,364.6,364.5,364.46,3343365,121852278820000,37441,2153283,0.644
2017-06-30,ADANIPORTS,364.5,364,365.8,360.55,364.9,363.05,363.05,1386974,50354349685000,19945,358630,0.2586
2017-07-03,ADANIPORTS,363.05,364.9,370.6,359.5,368.45,368,364.73,2171316,79194820450000,43766,648895,0.2988
2017-07-04,ADANIPORTS,368,368.5,375.7,368,371.25,371.7,372.88,4186188,156093810830000,60857,1853835,0.4428
2017-07-05,ADANIPORTS,371.7,374.5,374.5,371.85,372.65,372.9,372.95,1422559,53053736250000,17676,703753,0.4947
2017-07-06,ADANIPORTS,372.9,373.9,375.65,371.5,372.05,373.05,373.85,2318749,86686794150000,30128,1529765,0.6597
2017-07-07,ADANIPORTS,373.05,372.1,374.95,370,370.8,371.6,373.12,3077926,114843162659999,45205,1954640,0.6351
2017-07-10,ADANIPORTS,371.6,382.7,382.7,372,374,374.95,374.78,860478,32249314320000,8328,582955,0.6775
2017-07-11,ADANIPORTS,374.95,376,376.85,371.7,371.7,372.7,373.02,2646484,98719787835000,33939,1855639,0.7012
2017-07-12,ADANIPORTS,372.7,372.25,375.3,371.65,374,373.85,373.6,2035281,76039101990000,25749,1195467,0.5874
2017-04-18,AXISBANK,502.35,505,508.95,498,498.3,499.65,505.53,5450454,275536077950000,51801,3030846,0.5561
2017-04-19,AXISBANK,499.65,498.25,501.45,488.25,498.3,499.5,495.11,7447021,368709637985000,86641,3534794,0.4747
2017-04-20,AXISBANK,499.5,496.15,504.4,487,488.25,488,490.14,8153829,399649372545000,119396,4866643,0.5969
2017-04-21,AXISBANK,488,492,497,483.3,486,486.25,489.99,10301245,504748172589999,152480,6090748,0.5913
2017-04-24,AXISBANK,486.25,487.95,503.6,481,497.05,498.65,494.46,14182302,701261708385000,148845,7997508,0.5639
2017-04-25,AXISBANK,498.65,501,520.15,495.1,518.1,516.4,506.97,13778124,698505540545000,139628,6757145,0.4904
2017-04-26,AXISBANK,516.4,519.5,525,508.05,516.2,517.15,518.06,11516903,596645448925000,141722,3193699,0.2773
2017-04-27,AXISBANK,517.15,524,524,503.25,508.25,506.6,508.99,22108735,1.12532E+15,237163,9381194,0.4243
2017-04-28,AXISBANK,506.6,508.3,515.3,504.5,509,509.65,510.62,9287281,474223955555000,96394,4425133,0.4765
2017-05-02,AXISBANK,509.65,509.5,513.1,501.6,506.8,505.55,506.13,7539462,381594655155000,112823,3974742,0.5272
2017-05-03,AXISBANK,505.55,506.9,507.35,500,500.5,500.85,503.2,7220815,363348620240000,65802,4027993,0.5578
2017-05-04,AXISBANK,500.85,504.95,521.8,502,518,518.85,516.2,15719994,811467241365000,146258,6421448,0.4085
2017-05-05,AXISBANK,518.85,522,522.4,502.5,503.4,504.5,509.35,9440005,480822391955000,138090,4204184,0.4454
2017-05-08,AXISBANK,504.5,509,513.7,503.3,510.5,511.2,509.51,6834456,348224518500000,82389,3234950,0.4733
2017-05-09,AXISBANK,511.2,513,521.25,510.55,519.05,518.2,516.37,7872272,406503864155000,74783,3633872,0.4616
2017-05-10,AXISBANK,518.2,519,527.55,515.7,525.6,526.35,523.26,8812464,461123239635000,92342,3299600,0.3744
2017-05-11,AXISBANK,526.35,525.2,534.6,513.45,515.4,516.9,525.97,8962710,471414050160000,101765,2995266,0.3342
2017-05-12,AXISBANK,516.9,516.7,516.85,499.2,503.9,503,507.04,9934430,503710379364999,132361,4127765,0.4155
2017-05-15,AXISBANK,503,505,508.5,498.4,500.25,500.1,502.95,8806756,442938419325000,109965,4320438,0.4906
2017-05-16,AXISBANK,500.1,502.1,504.5,493.5,502.05,501.5,499.85,8610492,430393830725000,101028,4027982,0.4678
2017-05-17,AXISBANK,501.5,501.35,506.75,498.5,502,502.8,502.88,6443135,324015419285000,84189,2876528,0.4464
2017-05-18,AXISBANK,502.8,498,499.1,490.25,492.85,492,494.96,9227022,456699282920000,95624,5348691,0.5797
2017-05-19,AXISBANK,492,495.75,503.85,494.2,501.9,501.7,499.1,7611430,379889995675000,72985,4190505,0.5506
2017-05-22,AXISBANK,501.7,504,507.45,499.5,502,502.3,503,4970982,250038261130000,62027,2665857,0.5363
2017-05-23,AXISBANK,502.3,502.25,506.1,495.2,500.5,500.6,500.17,7549551,377602809015000,69512,4120666,0.5458
2017-05-24,AXISBANK,500.6,503,505,495,499.65,499.3,498.39,7271148,362390199120000,61592,4986725,0.6858
2017-05-25,AXISBANK,499.3,502,509.9,495.85,507.85,507.45,504.39,9157557,461902257805000,106201,4220728,0.4609
2017-05-26,AXISBANK,507.45,508,513,505,510.5,511.45,508.86,5995136,305068263470000,72779,2824290,0.4711
2017-05-29,AXISBANK,511.45,511.9,515,502.2,507.45,507.25,507.58,5441466,276199551444999,62036,2462115,0.4525
2017-05-30,AXISBANK,507.25,505,516.95,503.65,514,514.4,512.4,4725430,242132042930000,81509,1690453,0.3577
2017-05-31,AXISBANK,514.4,514,516,509.5,514.05,514.05,513.03,7263061,372617406640000,127912,4571507,0.6294
2017-06-01,AXISBANK,514.05,512.15,515.95,505.5,510,509.3,509.17,8105813,412726452485000,50261,5638214,0.6956
2017-06-02,AXISBANK,509.3,513.5,513.5,506.35,507.5,508.05,509.46,4474040,227936453850000,69112,2589478,0.5788
2017-06-05,AXISBANK,508.05,507.35,516.75,507,513.8,513.65,513.15,3858825,198013906730000,57915,1623770,0.4208
2017-06-06,AXISBANK,513.65,514,514.4,505.55,509.75,510.2,509.31,3866339,196915333835000,42061,1846559,0.4776
2017-06-07,AXISBANK,510.2,510,515.45,508.1,514.45,514.2,511.95,3389166,173509353210000,63216,1606010,0.4739
2017-06-08,AXISBANK,514.2,514,521.8,511.35,515,515.75,517.07,5980728,309244224275000,91962,2729718,0.4564
2017-06-09,AXISBANK,515.75,515,516.35,509.4,513.1,513.65,513.11,3242063,166354321900000,49349,1170363,0.361
2017-06-12,AXISBANK,513.65,512.45,513.1,506,507.15,507.5,509.94,2360518,120373109540000,43179,977595,0.4141
2017-06-13,AXISBANK,507.5,509,512.3,505.5,507,506.45,508.42,2181945,110934860865000,51764,950074,0.4354
2017-06-14,AXISBANK,506.45,509,510.9,501.55,508.85,509.5,507.45,4648343,235882439119999,66054,2697523,0.5803
2017-06-15,AXISBANK,509.5,508.85,509.3,504,507.4,507.6,506.77,3425367,173586732680000,58545,2109450,0.6158
2017-06-16,AXISBANK,507.6,507.65,514.3,507.5,509.15,510.45,510.27,4999502,255109021215000,56697,2959675,0.592
2017-06-19,AXISBANK,510.45,511,525.35,509.3,518,520.15,517.27,6844723,354056081415000,70602,3499580,0.5113
2017-06-20,AXISBANK,520.15,520.2,521.7,510.5,512.95,511.85,515.15,4388846,226092345980000,55076,2203975,0.5022
2017-06-21,AXISBANK,511.85,511.05,512.5,506.75,507.35,507.75,509.19,4346995,221346612265000,73840,2500935,0.5753
2017-06-22,AXISBANK,507.75,508.9,514.45,506.65,508,508,510.48,3463745,176816663730000,67487,1707367,0.4929
2017-06-23,AXISBANK,508,509.6,510.45,503.65,505,504.65,506.14,3548884,179624762315000,55281,1827409,0.5149
2017-06-27,AXISBANK,504.65,506,506.7,484.45,494,492.85,491.01,9842829,483288769639999,110049,6251831,0.6352
2017-06-28,AXISBANK,492.85,493.8,500.35,490.05,496.45,492,493.28,12691859,626065680625000,76061,10038114,0.7909
2017-06-29,AXISBANK,492,498,514.4,497.7,510.7,512.1,510.39,11855524,605088186595000,96263,4570578,0.3855
2017-06-30,AXISBANK,512.1,510.6,520,508.1,519,517.35,513.68,7600005,390395996735000,70339,3757896,0.4945
2017-07-03,AXISBANK,517.35,517.1,521.8,515,517,517.25,518.62,3701949,191989952230000,50518,1560626,0.4216
2017-07-04,AXISBANK,517.25,516.8,517.55,506.55,507.7,508.4,510.84,4086213,208741111505000,44090,2037542,0.4986
2017-07-05,AXISBANK,508.4,507.75,515.4,507.75,514.55,513.9,512.56,3154406,161682919080000,45895,1393508,0.4418
2017-07-06,AXISBANK,513.9,511,512.85,508.15,509.45,509.5,510.69,3514758,179494443525000,29962,1894962,0.5391
2017-07-07,AXISBANK,509.5,508.25,508.95,501.25,504.5,503.15,504.92,3509920,177224112910000,69429,1645142,0.4687
2017-07-10,AXISBANK,503.15,521,529.75,506.7,510,509.95,510.48,1245716,63591488460000,7548,768768,0.6171
2017-07-11,AXISBANK,509.95,512,512.4,505.8,507.8,506.8,508.44,3928279,199728916935000,71571,2473178,0.6296
2017-07-12,AXISBANK,506.8,508.9,509.9,504.2,507.3,506.75,506.27,5504892,278695608719999,70653,4230384,0.7685